chr	start	end	log2_TNratio_corrected
1	999902	2379901	NA
1	2379902	2811301	0.167305802900748
1	2811302	2976601	-0.0536278197141181
1	2976602	3136201	NA
1	3136202	3318001	NA
1	3318002	3726601	0.145823816510592
1	3727202	4243501	0.294827533791264
1	4244402	4627501	0.0830249677801587
1	4627802	4887301	0.0959757584927715
1	4887602	5371801	0.108741869661769
1	5372402	5745001	0.132665632165091
1	5745302	6151801	NA
1	6151802	7126801	0.155680627750743
1	7127402	7515301	0.061005171844307
1	7515302	7989601	0.0452822911780899
1	7989602	11510401	0.168429275507069
1	11510402	13159201	-0.00672411017236145
1	13174202	13988401	0.081766257236294
1	13991702	14587201	0.101878886671666
1	14587202	14982001	0.0550320155807188
1	14982002	15219901	0.023795633714618
1	15219902	15435601	-0.00539268645908042
1	15437702	17639701	0.146915645623562
1	17639702	18345901	0.0420553034640995
1	18345902	18949801	0.152877654892569
1	18950402	21696901	0.164267095896535
1	21696902	25259701	0.114025351339151
1	25260602	29818201	0.212784907811924
1	29818802	30575701	0.0691154499055079
1	30575702	31337101	0.153307426522528
1	31338002	34472701	0.0970292480850968
1	34472702	36128101	0.169605097764968
1	36131102	37484701	0.0892801267311246
1	37485902	38728801	0.114924275221958
1	38731202	40125001	0.0761925776250593
1	40125302	45985801	0.0888438909305002
1	46055702	50380801	0.0129632646687489
1	50380802	54095401	0.108448681114855
1	54095702	60545701	0.0351336358550459
1	60556802	67735501	0.00224713682862918
1	67760702	71067001	0.124493269746426
1	71069102	72529201	0.0732089478150038
1	72531602	74313601	0.187515583068618
1	74313602	76788601	0.123229744540856
1	76789202	79464301	0.0484086801360586
1	79464602	81993901	0.296259959321489
1	81993902	87016201	0.197891965928224
1	87016202	91048201	0.160260368886779
1	91049102	96734101	0.0593179932530377
1	96734102	103126501	0.187107440273349
1	103126502	105542101	0.311624076295164
1	105542102	107483101	0.334951090985802
1	107484302	110722501	0.00214525126525116
1	110723102	112627501	0.194888672705244
1	112627502	115826401	0.164386125610982
1	115826402	142619101	0.110396769523448
1	142639802	153034801	0.241566310150767
1	153035102	156654001	0.217055608035449
1	156654902	158145001	0.217654750957828
1	158146802	160255501	0.0846331013424146
1	160255502	164185501	0.341694912006322
1	164185502	166155001	0.212299602192251
1	166155002	170883601	0.169820019826817
1	170883602	177002101	0.0410429628684749
1	177002702	181269001	0.158700129640073
1	181269002	184242301	0.202015562212084
1	184244102	187322701	0.157202152719395
1	187323002	190067101	0.240477170420616
1	190067102	191920201	NA
1	191923802	195690601	0.371619603355474
1	195690602	201046501	0.15989243143863
1	201046802	202658101	0.0870475726711202
1	202659002	206948701	0.140927598927865
1	206949902	209124601	0.134377511081254
1	209135102	211275601	0.223799854311277
1	211275602	216424801	0.418529789918771
1	216438002	218277001	0.322161986202727
1	218277902	226621801	0.189831422899027
1	226626602	228201301	0.295245595761534
1	228202502	230295601	0.0757796537463716
1	230423102	232172101	0.104231417792337
1	232172102	234105601	0.113741960523287
1	234106502	236900101	0.240993969058063
1	236900102	237634501	0.284695071551317
1	237636902	238707301	0.240324487593113
1	238709702	239692201	0.18554551046654
1	239692802	240358801	-0.0132829450041239
1	240361502	241224901	0.269398968058364
